Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Cashew Nuts,0,0,553,44.0,18.0,6.68,37.0,12.0,660.0,30.0,3.3,0.0,5.9,https://th.bing.com/th/id/OIP.bQwWytQUjaWG0zNK_BxPOwHaD4?rs=1&pid=ImgDetMain
Orange,0,0,97,0.2,1.5,0.8,161.0,3.0,212.0,25.0,11.0,0.0,0.0,https://th.bing.com/th/id/R.fde462effe7d3f9b53e0a70a3b3b925e?rik=lbCTJPwLy%2bZp6A&pid=ImgRaw&r=0
Pears,0,0,57,0.1,0.4,0.18,9.0,1.0,116.0,15.0,3.1,0.0,9.8,https://th.bing.com/th/id/R.6842f64a2817b4060089dd97284cce8f?rik=S72tmR5g0GvgsA&pid=ImgRaw&r=0
Protein Powder,0,0,411,17.0,46.0,8.57,500.0,329.0,1129.0,19.0,7.1,200.0,5.7,https://th.bing.com/th/id/OIP.MUsvJj0rykWRLunOv_zGSAHaEo?o=7rm=3&rs=1&pid=ImgDetMain
Pop Corn - Caramel,0,0,381,1.4,2.0,0.8,18.0,286.0,110.0,90.0,2.5,0.0,65.0,https://th.bing.com/th/id/OIP.TlKiwx-7T_npDGO3hU9PVAHaE7?o=7rm=3&rs=1&pid=ImgDetMain
Pop Corn,0,0,429,9.5,13.0,2.28,11.0,490.0,241.0,73.0,14.0,0.0,0.5,https://th.bing.com/th/id/R.875b627dc780c3343fff99546d25257e?rik=qlGhUyJ%2bFGomzA&pid=ImgRaw&r=0
Dosa,0,0,168,3.7,4.5,8.0,0.7,94.0,76.0,29.0,0.9,0.0,0.1,https://th.bing.com/th/id/R.3b703705350b22623fdc0600012fe04b?rik=32JOX0O4rZTeFQ&pid=ImgRaw&r=0
Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0.0,0.74,https://th.bing.com/th/id/R.2eb760074dfb276bedd63ba15868a53c?rik=kEQESCz7zfjBxw&riu=http%3a%2f%2fwww.alchemybuzz.com%2fcontent%2f2022%2f01%2fthe-humble-idli.jpg&ehk=nDijTxXRDa1zi5m6%2boP5yEbdvQVT6gPDMdLXeS4iu1c%3d&risl=&pid=ImgRaw&r=0
Poha,0,0,130,1.5,2.6,3.16,1.0,201.0,117.0,26.9,1.1,0.0,0.5,https://th.bing.com/th/id/R.904b06129c0dc95dbe984074a2567224?rik=%2bMbB0wia2L0IzQ&riu=http%3a%2f%2fslurrp.club%2fwp-content%2fuploads%2f2019%2f05%2fDSC_0935.jpg&ehk=C3vZ3lQkhVpDqDW8sx%2bLW2jAZ%2bg7e3MI%2fFD5gkchMxk%3d&risl=&pid=ImgRaw&r=0
Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0.0,2.63,https://th.bing.com/th/id/OIP.r9X56QTUr11OfESIsUrWKQHaGK?rs=1&pid=ImgDetMain
