Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Piro Aloo,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://a-cloud.b-cdn.net/media/iW=1200&iH=630/2eb1d759c677837b009d537189dd3c65.jpg
Tama Bodi,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.79spZeICsBG4ExLyZvNDYQHaHa?rs=1&pid=ImgDetMain
Thenthuk,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.9247e74661418a145453b8ac5a9f3f82?rik=D7RW855wDLjsCw&riu=http%3a%2f%2f4.bp.blogspot.com%2f-HF2E5TYuPOU%2fU6h1zs67yxI%2fAAAAAAAAjb4%2fYN-hX0nJEC8%2fs1600%2fThenthuk%2bsoup.NEF.jpg&ehk=kvl%2f4bc4Rvlfzg1Lx0SFJPCL1tFNDfLuVwhpFTQi5aE%3d&risl=&pid=ImgRaw&r=0
Fapar ko Roti,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://1.bp.blogspot.com/-1oqlXOAR0WA/VhHDjvSP4QI/AAAAAAAAUbs/HT0a7Hd9iKU/s1600/1-IMG_0042.JPG
Masyaura,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.U1amrOT-HwtQ2vTGw3VfXAHaIA?rs=1&pid=ImgDetMain
Bamboo Shoot Curry,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.VKCR-23AKhM6x6s9NBfZ6wHaE8?rs=1&pid=ImgDetMain
Tilhari,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.ytimg.com/vi/2drFIRaCnw8/maxresdefault.jpg
Ghonghi,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.ytimg.com/vi/i7cTBL2XugI/maxresdefault.jpg
Sisnu Soup,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.e94e4884da48d60a811dbe5a1b9f204d?rik=9leFfg10Jfndzg&pid=ImgRaw&r=0
Rildok,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.9LkfhcSsJE_BsntmR0sjnQHaFA?rs=1&pid=ImgDetMain
Batuk,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://assets-api.kathmandupost.com/thumb.php?src=https://assets-cdn.kathmandupost.com/uploads/source/news/2020/lifestyle/batuk-1598575672.jpg&w=900&height=601
Pakhala Bhat,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.EESMZjXRTOVPFHMufVKLRwHaFP?rs=1&pid=ImgDetMain
Kanchemba,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://www.thegundruk.com/wp-content/uploads/2016/06/Kanchemba-Thakali-Buckwheat-Fries.jpg
Tama Curry,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.kxnQ_ulYIbVEECEMh6yoDQHaFU?rs=1&pid=ImgDetMain
Karkalo Curry,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.Ptbp38GgMHA26WOGkYAgBgHaEK?rs=1&pid=ImgDetMain
Buckwheat Pancake,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.cf4169ddeaba81a952ae2495607cff50?rik=Sk7c%2fbptTiy5%2bA&pid=ImgRaw&r=0
Chukauni,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.9b4680e5e4877c9294d10f101ebf6645?rik=MWUY%2bHQGdgmWFw&riu=http%3a%2f%2f3.bp.blogspot.com%2f-D0Ali4gVNvM%2fUf5ix85To6I%2fAAAAAAAAAFQ%2fnazXZbDQlxY%2fs1600%2fDSC05987.JPG&ehk=VW%2f3ATr1dScBzDE9OkEkVK7nKlpmROWZagdrkcD5I8o%3d&risl=&pid=ImgRaw&r=0
Lapsi Candy,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://www.muncha.com/img/l93767.jpg
Khir,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.CqLYTVpVU7QIWUf_NUb2RAHaE8?rs=1&pid=ImgDetMain
Aalu Achaar,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.7oSIugnjeGjGRQCDWBT_zgHaEw?rs=1&pid=ImgDetMain
Aaila,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://c8.alamy.com/comp/PJTAMY/asian-cuisine-fried-noodle-with-beef-PJTAMY.jpg
Bhuteko Makai,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://thumbs.dreamstime.com/z/fried-corn-indian-breakfast-winter-break-steel-bowl-dry-bhuteko-makai-bhuta-bhutta-family-village-180782115.jpg
Roti Tarkari,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.fN7gzhjc7cK5CjX3SLdmkwHaE7?rs=1&pid=ImgDetMain
Phini Roti,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.KLov3ssoBesXExCrGkcSewHaEO?rs=1&pid=ImgDetMain
Malpuwa,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.2e6a26ca8db986462c313e1f55fe1aba?rik=28WIJseuJSfuNw&pid=ImgRaw&r=0
Aloo Sadeko,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.MBp93bwrz3330Zk7Nt9GGwHaHa?rs=1&pid=ImgDetMain
Bhatmas Sadeko,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://chaosofflavor.com/wp-content/uploads/2023/03/Bhatmas-sadeko.png
Kera Kofta,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.ytimg.com/vi/bQfmHVyaRpY/maxresdefault.jpg
Bodi Ko Tarkari,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.OIOV-BmAASbwfC0DwPMPtwHaLK?rs=1&pid=ImgDetMain
Siltung,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.ytimg.com/vi/VTY5yBvMX0c/oar2.jpg?sqp=-oaymwEkCJUDENAFSFqQAgHyq4qpAxMIARUAAAAAJQAAyEI9AICiQ3gB&rs=AOn4CLCQpzhmJzA_dl4FJHZWiCgBuffavg
